dim	eo_instr_bytes	pc_instr_bytes	source
256	4112	1072	historical
512	6032	1584	historical
640	7056	1840	new-local
768	7952	2096	new-local
896	8976	2352	new-local
1024	9872	2608	historical
1152	6608	1712	new-local
1280	7056	1840	new-local
1408	7504	1968	new-local
1536	7952	2096	new-local
1664	8528	2224	new-local
1792	8976	2352	new-local
1920	9424	2480	new-local
2048	9872	2608	historical
2304	7952	2096	historical
2688	8976	2352	historical
2752	11200		historical
2816	11200		historical
3072	11152		new-local
3072	11152		historical
3328	9616		new-local
3584	10128		new-local
3840	10640		new-local
4096	11152		new-local
4096	11152		historical
